# Data compiled from Morgan (2003)
# atom   state   wavelength   f_jk       damping_coeff   amu       
  C      I**     1194.0634    0.00636    2.98E7           12.0107   
  C      I**     1194.6146    0.00227    1.77E7           12.0107   
  C      I       1260.7351    0.0507     2.400e8          12.0107   
  C      I*      1260.9262    0.0175     2.41e8           12.0107   
  C      I*      1260.9961    0.0134     2.40e8           12.0107   
  C      I*      1261.1224    0.0202     2.36e8           12.0107   
  C      I**     1261.4255    0.0131     2.40e8           12.0107   
  C      I**     1261.5519    0.0391     2.36e8           12.0107   
  C      I       1270.1432    3.86E-4    5.31e5           12.0107   
  C      I*      1270.4081    4.51E-5    1.86E5           12.0107   
  C      I**     1270.844     1.45E-8    9.97e1           12.0107   
  C      I       1276.4822    0.00589    8.030E6          12.0107   
  C      I*      1276.7498    0.00308    1.26e7           12.0107   
  C      I**     1277.19      3.22E-4    2.20e6           12.0107   
  C      I       1277.2452    0.0853     2.320E8          12.0107   
  C      I*      1277.2827    0.0666     2.46e8           12.0107   
  C      I*      1277.5131    0.021      2.32e8           12.0107   
  C      I**     1277.5501    0.0763     2.44e8           12.0107   
  C      I**     1277.7233    0.0153     2.46e8           12.0107   
  C      I**     1277.9539    8.17E-4    2.32e8           12.0107   
  C      I*      1279.0562    7.08E-4    1.73e6           12.0107   
  C      I**     1279.229     0.00214    6.24e6           12.0107   
  C      I**     1279.498     4.56E-4    1.86e6           12.0107   
  C      I       1280.1352    0.0263     1.060E8          12.0107   
  C      I*      1279.8907    0.0143     1.17e8           12.0107   
  C      I*      1280.4043    0.0044     1.06e8           12.0107   
  C      I*      1280.5975    0.00704    1.05e8           12.0107   
  C      I**     1280.3331    0.0152     1.17e8           12.0107   
  C      I**     1280.8471    0.00522    1.06e8           12.0107   
  C      I*      1287.6076    6.03E-5    1.46E5           12.0107   
  C      I**     1288.0553    2.01E-5    8.09E4           12.0107   
  C      I       1328.8333    0.0758     2.880E8          12.0107   
  C      I*      1329.0849    0.0254     2.89e8           12.0107   
  C      I*      1329.1004    0.0313     2.87e8           12.0107   
  C      I*      1329.1233    0.0191     2.88e8           12.0107   
  C      I**     1329.5775    0.0569     2.87e8           12.0107   
  C      I**     1329.6004    0.0189     2.88e8           12.0107   
  C      I       1560.3092    0.0774     1.270e8          12.0107   
  C      I*      1560.682     0.0581     1.270E8          12.0107   
  C      I*      1560.7089    0.0193     1.270E8          12.0107   
  C      I**     1561.3399    0.0116     1.270E8          12.0107   
  C      I**     1561.3668    7.72E-4    1.270E8          12.0107   
  C      I**     1561.4378    0.0649     1.270E8          12.0107   
  C      I       1656.9284    0.149      3.600e8          12.0107   
  C      I*      1656.2672    0.0621     3.610e8          12.0107   
  C      I*      1657.3792    0.0371     3.600E8          12.0107   
  C      I*      1657.9071    0.0494     3.600E8          12.0107   
  C      I**     1657.0081    0.111      3.610E8          12.0107   
  C      I**     1658.1211    0.0371     3.610e8          12.0107   
  C      II      1334.5323    0.1278     2.880e8          12.0107   
  C      II      1036.3367    0.118      2.200e9          12.0107   
  C      II*     1335.7077    0.115      2.880e8          12.0107   
  C      II*     1335.6627    0.01277    2.880e8          12.0107   
  C      II*     1037.0182    0.118      2.200e9          12.0107   
  C      III     977.0201     0.757      1.760E9          12.0107   
  C      IV      1548.2049    0.1899     2.642E8          12.0107   
  C      IV      1550.77845   0.09475    2.628E8          12.0107   
  N      I       1200.7098    0.0432     4.00e8           14.00674  
  N      I       1200.2233    0.0869     4.02e8           14.00674  
  N      I       1199.5496    0.132      4.07e8           14.00674  
  N      I       1134.9803    0.0416     1.44e8           14.00674  
  N      I       1134.4149    0.0278     1.49e8           14.00674  
  N      I       1134.1653    0.0146     1.51e8           14.00674  
  N      I       965.0413     0.00386    8.16e7           14.00674  
  N      I       964.6256     0.0079     8.31e7           14.00674  
  N      I       963.9903     0.0124     8.55e7           14.00674  
  N      I       954.1042     0.0040     1.41e8           14.00674  
  N      I       953.9699     0.0331     2.03e8           14.00674  
  N      I       953.6549     0.0247     2.10e8           14.00674  
  N      I       953.4152     0.0129     2.19e8           14.00674  
  N      II      1083.9937    0.111      3.74e8           14.00674  
  N      II      915.6131     0.159      1.27e9           14.00674  
  N      III     989.799      0.123      5.00e8           14.00674  
  N      V       1238.821     0.156      3.391e8          14.00674  
  N      V       1242.804     0.077      3.356e8          14.00674  
  O      I       1355.5977    1.16E-6    5.56E3           15.9994   
  O      I       1302.1685    0.048      5.650e8          15.9994   
  O      I       1039.2304    0.00907    1.87E8           15.9994   
  O      I       1026.4757    8.71E-8    4.58E7           15.9994   
  O      I       1025.7616    0.0163     1.02E8           15.9994   
  O      I       988.7734     0.0465     2.26E8           15.9994   
  O      I       988.6549     0.0083     5.66E7           15.9994   
  O      I       988.5778     5.53E-4    6.29E6           15.9994   
  O      I       976.4481     0.00331    8.010e7          15.9994   
  O      I       971.7382     0.0116     8.58e7           15.9994   
  O      I       971.7376     0.00207    1.46e7           15.9994   
  O      I       971.7371     1.38E-4    1.63e6           15.9994   
  O      I       950.8846     0.00158    3.876e7          15.9994   
  O      I       948.6855     0.00631    2.900e7          15.9994   
  O      I       937.8405     8.77E-4    1.102e7          15.9994   
  O      I       936.6295     0.00365    1.704e7          15.9994   
  O      I       930.2566     5.37E-4    6.90E6           15.9994   
  O      I       929.5168     0.00229    1.00E7           15.9994   
  O      I       925.446      3.54E-4    4.60E6           15.9994   
  O      I       924.95       0.00154    1.00E7           15.9994   
  O      I       922.2        2.45E-4    3.21e6           15.9994   
  O      I       921.857      0.00108    1.00E7           15.9994   
  O      I       919.917      1.77E-4    2.33e6           15.9994   
  O      I       919.658      7.92E-4    1.00E7           15.9994   
  O      I       919.222      1.32E-4    1.74e6           15.9994   
  O      I       918.044      6.14E-4    1.00E7           15.9994   
  O      I       916.96       1.01E-4    1.33e6           15.9994   
  O      I       916.815      4.74E-4    1.00E7           15.9994   
  O      I*      1304.8576    0.0478     5.650e8          15.9994   
  O      I**     1306.0286    0.0478     5.650e8          15.9994   
