# logN	pdf
10.1595	0.0028656795768650
10.1605	0.0028615316185778
10.1615	0.0028573836602906
10.1625	0.0028532357020034
10.1635	0.0028490877437162
10.1645	0.0028449397854291
10.1655	0.0028407918271419
10.1665	0.0028366438688547
10.1675	0.0028324959105675
10.1685	0.0028283479522803
10.1695	0.0028241999939931
10.1705	0.0028200520357059
10.1715	0.0028159040774188
10.1725	0.0028117561191316
10.1735	0.0028076081608444
10.1745	0.0028034602025572
10.1755	0.0027993122442700
10.1765	0.0027951642859828
10.1775	0.0027910163276956
10.1785	0.0027868683694085
10.1795	0.0027827204111213
10.1805	0.0027785724528341
10.1815	0.0027744244945469
10.1825	0.0027702765362597
10.1835	0.0027661285779725
10.1845	0.0027619806196853
10.1855	0.0027578326613982
10.1865	0.0027536847031110
10.1875	0.0027495367448238
10.1885	0.0027453887865366
10.1895	0.0027412408282494
10.1905	0.0027370928699622
10.1915	0.0027329449116751
10.1925	0.0027287969533879
10.1935	0.0027246489951007
10.1945	0.0027205010368135
10.1955	0.0027163530785263
10.1965	0.0027122051202391
10.1975	0.0027080571619519
10.1985	0.0027039092036648
10.1995	0.0026997612453776
10.2005	0.0026956132870904
10.2015	0.0026914653288032
10.2025	0.0026873173705160
10.2035	0.0026831694122288
10.2045	0.0026790214539416
10.2055	0.0026748734956545
10.2065	0.0026707255373673
10.2075	0.0026665775790801
10.2085	0.0026624296207929
10.2095	0.0026582816625057
10.2105	0.0026541337042185
10.2115	0.0026499857459313
10.2125	0.0026458377876442
10.2135	0.0026416898293570
10.2145	0.0026375418710698
10.2155	0.0026333939127826
10.2165	0.0026292459544954
10.2175	0.0026250979962082
10.2185	0.0026209500379210
10.2195	0.0026168020796339
10.2205	0.0026126541213467
10.2215	0.0026085061630595
10.2225	0.0026043582047723
10.2235	0.0026002102464851
10.2245	0.0025960622881979
10.2255	0.0025919143299107
10.2265	0.0025877663716236
10.2275	0.0025836184133364
10.2285	0.0025794704550492
10.2295	0.0025753224967620
10.2305	0.0025711745384748
10.2315	0.0025670265801876
10.2325	0.0025628786219004
10.2335	0.0025587306636133
10.2345	0.0025545827053261
10.2355	0.0025504347470389
10.2365	0.0025462867887517
10.2375	0.0025421388304645
10.2385	0.0025379908721773
10.2395	0.0025338429138901
10.2405	0.0025296949556030
10.2415	0.0025255469973158
10.2425	0.0025213990390286
10.2435	0.0025172510807414
10.2445	0.0025131031224542
10.2455	0.0025089551641670
10.2465	0.0025048072058798
10.2475	0.0025006592475927
10.2485	0.0024965112893055
10.2495	0.0024923633310183
10.2505	0.0024882153727311
10.2515	0.0024840674144439
10.2525	0.0024799194561567
10.2535	0.0024757714978695
10.2545	0.0024716235395824
10.2555	0.0024674755812952
10.2565	0.0024633276230080
10.2575	0.0024591796647208
10.2585	0.0024550317064336
10.2595	0.0024508837481464
10.2605	0.0024467357898592
10.2615	0.0024425878315721
10.2625	0.0024384398732849
10.2635	0.0024342919149977
10.2645	0.0024301439567105
10.2655	0.0024259959984233
10.2665	0.0024218480401361
10.2675	0.0024177000818489
10.2685	0.0024135521235618
10.2695	0.0024094041652746
10.2705	0.0024052562069874
10.2715	0.0024011082487002
10.2725	0.0023969602904130
10.2735	0.0023928123321258
10.2745	0.0023886643738386
10.2755	0.0023845164155515
10.2765	0.0023803684572643
10.2775	0.0023762204989771
10.2785	0.0023720725406899
10.2795	0.0023679245824027
10.2805	0.0023637766241155
10.2815	0.0023596286658283
10.2825	0.0023554807075412
10.2835	0.0023513327492540
10.2845	0.0023471847909668
10.2855	0.0023430368326796
10.2865	0.0023388888743924
10.2875	0.0023347409161052
10.2885	0.0023305929578180
10.2895	0.0023264449995309
10.2905	0.0023222970412437
10.2915	0.0023181490829565
10.2925	0.0023140011246693
10.2935	0.0023098531663821
10.2945	0.0023057052080949
10.2955	0.0023015572498078
10.2965	0.0022974092915206
10.2975	0.0022932613332334
10.2985	0.0022891133749462
10.2995	0.0022849654166590
10.3005	0.0022808174583718
10.3015	0.0022766695000846
10.3025	0.0022725215417975
10.3035	0.0022683735835103
10.3045	0.0022642256252231
10.3055	0.0022600776669359
10.3065	0.0022559297086487
10.3075	0.0022517817503615
10.3085	0.0022820542365586
10.3095	0.0023138552500937
10.3105	0.0023456562636287
10.3115	0.0023774572771638
10.3125	0.0024092582906989
10.3135	0.0024410593042340
10.3145	0.0024728603177691
10.3155	0.0025046613313042
10.3165	0.0025364623448393
10.3175	0.0025682633583744
10.3185	0.0026000643719095
10.3195	0.0026318653854446
10.3205	0.0026636663989796
10.3215	0.0026954674125147
10.3225	0.0027272684260498
10.3235	0.0027590694395849
10.3245	0.0027908704531200
10.3255	0.0028226714666551
10.3265	0.0028544724801902
10.3275	0.0028862734937253
10.3285	0.0029180745072604
10.3295	0.0029498755207955
10.3305	0.0029816765343306
10.3315	0.0030134775478656
10.3325	0.0030452785614007
10.3335	0.0030770795749358
10.3345	0.0031088805884709
10.3355	0.0031406816020060
10.3365	0.0031724826155411
10.3375	0.0032042836290762
10.3385	0.0032360846426113
10.3395	0.0032678856561464
10.3405	0.0032996866696815
10.3415	0.0033314876832165
10.3425	0.0033632886967516
10.3435	0.0033950897102867
10.3445	0.0034268907238218
10.3455	0.0034586917373569
10.3465	0.0034904927508920
10.3475	0.0035222937644271
10.3485	0.0035540947779622
10.3495	0.0035858957914973
10.3505	0.0036176968050324
10.3515	0.0036494978185674
10.3525	0.0036812988321025
10.3535	0.0037130998456376
10.3545	0.0037449008591727
10.3555	0.0037767018727078
10.3565	0.0038085028862429
10.3575	0.0038403038997780
