# z	pdf
-92.6493	0.0000733709724632
-91.6493	0.0000782285592118
-90.6493	0.0000830861459604
-89.6493	0.0000879437327090
-88.6493	0.0000928013194576
-87.6493	0.0000976589062062
-86.6493	0.0001025164929548
-85.6493	0.0001043831690371
-84.6493	0.0001016074051808
-83.6493	0.0000988316413244
-82.6493	0.0000960558774681
-81.6493	0.0000932801136117
-80.6493	0.0000905043497554
-79.6493	0.0000877285858991
-78.6493	0.0000871280298000
-77.6493	0.0000871280298000
-76.6493	0.0000871280298000
-75.6493	0.0000871280298000
-74.6493	0.0000871280298000
-73.6493	0.0000871280298000
-72.6493	0.0000878586014694
-71.6493	0.0000920222472539
-70.6493	0.0000961858930384
-69.6493	0.0001003495388229
-68.6493	0.0001045131846074
-67.6493	0.0001086768303920
-66.6493	0.0001128404761765
-65.6493	0.0001075562120117
-64.6493	0.0000950652746581
-63.6493	0.0000825743373045
-62.6493	0.0000700833999510
-61.6493	0.0000575924625974
-60.6493	0.0000451015252439
-59.6493	0.0000326105878903
-58.6493	0.0000420832587159
-57.6493	0.0000524923731772
-56.6493	0.0000629014876385
-55.6493	0.0000733106020998
-54.6493	0.0000837197165611
-53.6493	0.0000941288310224
-52.6493	0.0000994239437981
-51.6493	0.0000952602980136
-50.6493	0.0000910966522291
-49.6493	0.0000869330064445
-48.6493	0.0000827693606600
-47.6493	0.0000786057148755
-46.6493	0.0000744420690910
-45.6493	0.0000728555476037
-44.6493	0.0000721616066396
-43.6493	0.0000714676656755
-42.6493	0.0000707737247114
-41.6493	0.0000700797837474
-40.6493	0.0000693858427833
-39.6493	0.0000695323656044
-38.6493	0.0000750838933171
-37.6493	0.0000806354210298
-36.6493	0.0000861869487425
-35.6493	0.0000917384764552
-34.6493	0.0000972900041679
-33.6493	0.0001028415318806
-32.6493	0.0001314060671784
-31.6493	0.0001806758756286
-30.6493	0.0002299456840787
-29.6493	0.0002792154925289
-28.6493	0.0003284853009791
-27.6493	0.0003777551094292
-26.6493	0.0004270249178794
-25.6493	0.0004508072541557
-24.6493	0.0004723194240424
-23.6493	0.0004938315939291
-22.6493	0.0005153437638158
-21.6493	0.0005368559337025
-20.6493	0.0005583681035892
-19.6493	0.0006007495140381
-18.6493	0.0006895739574412
-17.6493	0.0007783984008443
-16.6493	0.0008672228442474
-15.6493	0.0009560472876505
-14.6493	0.0010448717310536
-13.6493	0.0011336961744567
-12.6493	0.0013340545593837
-11.6493	0.0015817914835627
-10.6493	0.0018295284077417
-9.6493	0.0020772653319207
-8.6493	0.0023250022560996
-7.6493	0.0025727391802786
-6.6493	0.0042289997853896
-5.6493	0.0195123555784371
-4.6493	0.0347957113714846
-3.6493	0.0500790671645321
-2.6493	0.0653624229575795
-1.6493	0.0806457787506270
-0.6493	0.0959291345436745
0.3507	0.0990062861497883
1.3507	0.0891481608139713
2.3507	0.0792900354781544
3.3507	0.0694319101423374
4.3507	0.0595737848065204
5.3507	0.0497156594707035
6.3507	0.0398575341348865
7.3507	0.0337082776405727
8.3507	0.0280776406579725
9.3507	0.0224470036753722
10.3507	0.0168163666927720
11.3507	0.0111857297101718
12.3507	0.0055550927275715
13.3507	0.0013948938296475
14.3507	0.0012276540573026
15.3507	0.0010604142849577
16.3507	0.0008931745126128
17.3507	0.0007259347402678
18.3507	0.0005586949679229
19.3507	0.0003914551955780
20.3507	0.0003159495631750
21.3507	0.0002874979836475
22.3507	0.0002590464041199
23.3507	0.0002305948245924
24.3507	0.0002021432450648
25.3507	0.0001736916655372
26.3507	0.0001471448826844
27.3507	0.0001547782332894
28.3507	0.0001624115838943
29.3507	0.0001700449344993
30.3507	0.0001776782851042
31.3507	0.0001853116357092
32.3507	0.0001929449863141
33.3507	0.0001974930201697
34.3507	0.0001981869611337
35.3507	0.0001988809020978
36.3507	0.0001995748430619
37.3507	0.0002002687840260
38.3507	0.0002009627249901
39.3507	0.0002016566659542
40.3507	0.0001814550317125
41.3507	0.0001571670979695
42.3507	0.0001328791642264
43.3507	0.0001085912304834
44.3507	0.0000843032967403
45.3507	0.0000600153629973
46.3507	0.0000415879573109
47.3507	0.0000429758392391
48.3507	0.0000443637211672
49.3507	0.0000457516030954
50.3507	0.0000471394850236
51.3507	0.0000485273669517
52.3507	0.0000499152488799
53.3507	0.0000568969478660
54.3507	0.0000673060623273
55.3507	0.0000777151767886
56.3507	0.0000881242912499
57.3507	0.0000985334057112
58.3507	0.0001089425201725
59.3507	0.0001191700548747
60.3507	0.0001143124681261
61.3507	0.0001094548813775
62.3507	0.0001045972946289
63.3507	0.0000997397078803
64.3507	0.0000948821211317
65.3507	0.0000900245343831
66.3507	0.0000902097303458
67.3507	0.0000978430809508
68.3507	0.0001054764315557
69.3507	0.0001131097821607
70.3507	0.0001207431327656
71.3507	0.0001283764833706
72.3507	0.0001360098339755
73.3507	0.0001226650731206
74.3507	0.0001039286670902
75.3507	0.0000851922610599
76.3507	0.0000664558550296
77.3507	0.0000477194489992
78.3507	0.0000289830429689
79.3507	0.0000170074465945
80.3507	0.0000343559706967
81.3507	0.0000517044947989
82.3507	0.0000690530189011
83.3507	0.0000864015430032
84.3507	0.0001037500671054
85.3507	0.0001210985912076
86.3507	0.0001243800364108
87.3507	0.0001174406267700
88.3507	0.0001105012171291
89.3507	0.0001035618074882
90.3507	0.0000966223978474
91.3507	0.0000896829882065
92.3507	0.0000827435785656
93.3507	0.0000845637965499
94.3507	0.0000866456194422
95.3507	0.0000887274423345
96.3507	0.0000908092652267
97.3507	0.0000928910881190
98.3507	0.0000949729110112
