x_med	x_mean	x_std	x_cfl11	x_cfl12	 x_cfl21	x_cfl22
14.110935	14.043682	0.364508	14.047151	14.160291	13.168091	14.211648
46.012897	47.069484	9.275765	40.737481	52.416229	33.319638	72.262701
-0.000010	-0.000012	0.000083	-0.000026	0.000005	-0.000107	0.000048
