# wave	flux	error	model
# 
1.031705803000000060e+03 9.989100096999999900e-01 9.862679089999999704e-02 9.060159327171235510e-01
1.031731612999999925e+03 8.054550238000000029e-01 9.609812450000000672e-02 8.624716067084529092e-01
1.031757423999999901e+03 8.832662473000000292e-01 9.761822000000000554e-02 8.103234950016260374e-01
1.031783235999999988e+03 7.090726142000000065e-01 1.020731743999999941e-01 7.531270173825952430e-01
1.031809048000000075e+03 5.771835446999999952e-01 1.019346525000000003e-01 6.959847500341130866e-01
1.031834861000000046e+03 7.450942469000000346e-01 1.031126826000000052e-01 6.444672189606626134e-01
1.031860674999999901e+03 6.528752662000000262e-01 9.741031999999999469e-02 6.035026400244335454e-01
1.031886490000000094e+03 5.602110249999999736e-01 1.088304038000000029e-01 5.766825829761510480e-01
1.031912305000000060e+03 5.071969662999999962e-01 9.549823179999999967e-02 5.661095626212070409e-01
1.031938120000000026e+03 5.023919371999999717e-01 1.018265938000000037e-01 5.725445718606307910e-01
1.031963936999999987e+03 5.687354533999999795e-01 9.932463079999999389e-02 5.955316950224114336e-01
1.031989753999999948e+03 6.983017863999999575e-01 8.854454870000000311e-02 6.333154696292935260e-01
1.032015570999999909e+03 6.594105634000000382e-01 1.090991225000000064e-01 6.826721918137915734e-01
1.032041388999999981e+03 7.350505092000000351e-01 9.848806009999999667e-02 7.389596906016030475e-01
1.032067207999999937e+03 8.109736038999999508e-01 1.012396799999999986e-01 7.966672505583466402e-01
1.032093028000000004e+03 8.120093679000000009e-01 9.752313270000000089e-02 8.504643900277487623e-01
1.032118848000000071e+03 7.734101522999999867e-01 1.052928392000000019e-01 8.963368597316895281e-01
1.032144669000000022e+03 9.476797408999999561e-01 1.001774292000000011e-01 9.322852511566143141e-01
1.032170489999999972e+03 9.858512927000000481e-01 9.595968770000000425e-02 9.582957676986821882e-01
1.032196312000000034e+03 1.113556096800000006e+00 1.028764749999999950e-01 9.757569469588436295e-01
1.032222134999999980e+03 1.063388651899999982e+00 9.834645670000000117e-02 9.866815727757011212e-01
1.032247959000000037e+03 1.043883616900000089e+00 9.703756510000000057e-02 9.930770247857509947e-01
1.032273783000000094e+03 1.104913896200000023e+00 9.641020760000000578e-02 9.965914328831571023e-01
1.032299606999999924e+03 1.145990692400000066e+00 1.043115104000000015e-01 9.984087958970070398e-01
1.032325432999999975e+03 1.035557623200000110e+00 1.066853239000000036e-01 9.992948449558056723e-01
1.032351259000000027e+03 9.461893593000000324e-01 9.979147160000000072e-02 9.997026335485430515e-01
1.032377085000000079e+03 7.574477182000000086e-01 9.250175830000000043e-02 9.998800342661428031e-01
1.032402912999999899e+03 1.099122152400000108e+00 1.028061076000000018e-01 9.999530947089584343e-01
1.032428740999999945e+03 1.002234936100000029e+00 1.105091450999999975e-01 9.999816481656393918e-01
1.032454568999999992e+03 1.060706610200000011e+00 8.929200610000000149e-02 9.999922999315686845e-01
1.032480397999999923e+03 1.161741970700000071e+00 1.064147161999999952e-01 9.999961473066359963e-01
1.032506227999999965e+03 9.953945936000000438e-01 1.095509582000000065e-01 9.999975416118639382e-01
1.032532058999999890e+03 1.016125733300000000e+00 9.776063510000000678e-02 9.999980902156060392e-01
1.032557890000000043e+03 8.148861226000000402e-01 9.972760190000000413e-02 9.999983540435269935e-01
1.032583722000000080e+03 1.055124608899999927e+00 9.820208730000000441e-02 9.999985191534133122e-01
1.032609553999999889e+03 1.045426588200000007e+00 9.561346040000000268e-02 9.999986450602715848e-01
1.032635387000000037e+03 1.020871498200000005e+00 9.500769280000000150e-02 9.999987508601357877e-01
1.032661221000000069e+03 9.268468906000000285e-01 9.237204290000000650e-02 9.999988432610906752e-01
1.032687055999999984e+03 1.008980407699999970e+00 8.890714939999999622e-02 9.999989252215301105e-01
1.032712890999999900e+03 9.811645983000000237e-01 9.520181910000000136e-02 9.999989984837733825e-01
1.032738726000000042e+03 9.978996599999999662e-01 9.871073110000000428e-02 9.999990643124009315e-01
1.032764562999999953e+03 1.031001119799999977e+00 1.084531309999999943e-01 9.999991237180795300e-01
1.032790400000000091e+03 1.010513920499999996e+00 9.837230859999999966e-02 9.999991775260961280e-01
1.032816237000000001e+03 9.213754629999999501e-01 9.593392039999999732e-02 9.999992264326895697e-01
1.032842075999999906e+03 9.968759024000000135e-01 1.041528634000000036e-01 9.999992710299432375e-01
1.032867915000000039e+03 1.160420329599999967e+00 1.099322605000000036e-01 9.999993118152699090e-01
1.032893753999999944e+03 9.586767475999999899e-01 9.218372489999999975e-02 9.999993492180038190e-01
1.032919593999999961e+03 1.016032584299999986e+00 9.900833069999999403e-02 9.999993836090064203e-01
1.032945435000000089e+03 1.109379099799999935e+00 9.728674710000000114e-02 9.999994153076843251e-01
1.032971277000000100e+03 1.033674124000000027e+00 1.067832680000000006e-01 9.999994445916086105e-01
1.032997119000000112e+03 1.042385995999999926e+00 1.041368530999999958e-01 9.999994717020026513e-01
