# b	pdf
3.9697	0.0002752888970595
3.9707	0.0002752916758053
3.9717	0.0002752944545511
3.9727	0.0002752972332969
3.9737	0.0002753000120427
3.9747	0.0002753027907886
3.9757	0.0002753055695344
3.9767	0.0002753083482802
3.9777	0.0002753111270260
3.9787	0.0002753139057718
3.9797	0.0002753166845176
3.9807	0.0002753194632635
3.9817	0.0002753222420093
3.9827	0.0002753250207551
3.9837	0.0002753277995009
3.9847	0.0002753305782467
3.9857	0.0002753333569925
3.9867	0.0002753361357384
3.9877	0.0002753389144842
3.9887	0.0002753416932300
3.9897	0.0002753444719758
3.9907	0.0002753472507216
3.9917	0.0002753500294674
3.9927	0.0002753528082133
3.9937	0.0002753555869591
3.9947	0.0002753583657049
3.9957	0.0002753611444507
3.9967	0.0002753639231965
3.9977	0.0002753667019424
3.9987	0.0002753694806882
3.9997	0.0002753722594340
4.0007	0.0002753750381798
4.0017	0.0002753778169256
4.0027	0.0002753805956714
4.0037	0.0002753833744173
4.0047	0.0002753861531631
4.0057	0.0002753889319089
4.0067	0.0002753917106547
4.0077	0.0002753944894005
4.0087	0.0002753972681463
4.0097	0.0002754000468922
4.0107	0.0002754028256380
4.0117	0.0002754056043838
4.0127	0.0002754083831296
4.0137	0.0002754111618754
4.0147	0.0002754139406213
4.0157	0.0002754167193671
4.0167	0.0002754194981129
4.0177	0.0002754222768587
4.0187	0.0002754250556045
4.0197	0.0002754278343503
4.0207	0.0002754306130962
4.0217	0.0002754333918420
4.0227	0.0002754361705878
4.0237	0.0002754389493336
4.0247	0.0002754417280794
4.0257	0.0002754445068252
4.0267	0.0002754472855711
4.0277	0.0002754500643169
4.0287	0.0002754528430627
4.0297	0.0002754556218085
4.0307	0.0002754584005543
4.0317	0.0002754611793002
4.0327	0.0002754639580460
4.0337	0.0002754667367918
4.0347	0.0002754695155376
4.0357	0.0002754722942834
4.0367	0.0002754750730292
4.0377	0.0002754778517751
4.0387	0.0002754806305209
4.0397	0.0002754834092667
4.0407	0.0002754861880125
4.0417	0.0002754889667583
4.0427	0.0002754917455041
4.0437	0.0002754945242500
4.0447	0.0002754973029958
4.0457	0.0002755000817416
4.0467	0.0002755028604874
4.0477	0.0002755056392332
4.0487	0.0002755084179791
4.0497	0.0002755111967249
4.0507	0.0002755139754707
4.0517	0.0002755167542165
4.0527	0.0002755195329623
4.0537	0.0002755223117081
4.0547	0.0002755250904540
4.0557	0.0002755278691998
4.0567	0.0002755306479456
4.0577	0.0002755334266914
4.0587	0.0002755362054372
4.0597	0.0002755389841830
4.0607	0.0002755417629289
4.0617	0.0002755445416747
4.0627	0.0002755473204205
4.0637	0.0002755500991663
4.0647	0.0002755528779121
4.0657	0.0002755556566580
4.0667	0.0002755584354038
4.0677	0.0002755612141496
4.0687	0.0002755639928954
4.0697	0.0002755667716412
4.0707	0.0002755695503870
4.0717	0.0002755723291329
4.0727	0.0002755751078787
4.0737	0.0002755778866245
4.0747	0.0002755806653703
4.0757	0.0002755834441161
4.0767	0.0002755862228619
4.0777	0.0002755890016078
4.0787	0.0002755917803536
4.0797	0.0002755945590994
4.0807	0.0002755973378452
4.0817	0.0002756001165910
4.0827	0.0002756028953369
4.0837	0.0002756056740827
4.0847	0.0002756084528285
4.0857	0.0002756112315743
4.0867	0.0002756140103201
4.0877	0.0002756167890659
4.0887	0.0002756195678118
4.0897	0.0002756223465576
4.0907	0.0002756251253034
4.0917	0.0002756279040492
4.0927	0.0002756306827950
4.0937	0.0002756334615408
4.0947	0.0002756362402867
4.0957	0.0002756390190325
4.0967	0.0002756417977783
4.0977	0.0002756445765241
4.0987	0.0002756473552699
4.0997	0.0002756501340158
4.1007	0.0002756529127616
4.1017	0.0002756556915074
4.1027	0.0002756584702532
4.1037	0.0002756612489990
4.1047	0.0002756640277448
4.1057	0.0002756668064907
4.1067	0.0002756695852365
4.1077	0.0002756723639823
4.1087	0.0002756751427281
4.1097	0.0002756779214739
4.1107	0.0002756807002197
4.1117	0.0002756834789656
4.1127	0.0002756862577114
4.1137	0.0002756890364572
4.1147	0.0002756918152030
4.1157	0.0002756945939488
4.1167	0.0002756973726947
4.1177	0.0002757001514405
4.1187	0.0002757029301863
4.1197	0.0002757057089321
4.1207	0.0002757084876779
4.1217	0.0002757112664237
4.1227	0.0002757140451696
4.1237	0.0002757168239154
4.1247	0.0002757196026612
4.1257	0.0002757223814070
4.1267	0.0002757251601528
4.1277	0.0002757279388986
4.1287	0.0002757307176445
4.1297	0.0002757334963903
4.1307	0.0002757362751361
4.1317	0.0002757390538819
4.1327	0.0002757418326277
4.1337	0.0002757446113736
4.1347	0.0002757473901194
4.1357	0.0002757501688652
4.1367	0.0002757529476110
4.1377	0.0002757557263568
4.1387	0.0002757585051026
4.1397	0.0002757612838485
4.1407	0.0002757640625943
4.1417	0.0002757668413401
4.1427	0.0002757696200859
4.1437	0.0002757723988317
4.1447	0.0002757751775775
4.1457	0.0002757779563234
4.1467	0.0002757807350692
4.1477	0.0002757835138150
4.1487	0.0002757862925608
4.1497	0.0002757890713066
4.1507	0.0002757918500525
4.1517	0.0002757946287983
4.1527	0.0002757974075441
4.1537	0.0002758001862899
4.1547	0.0002758029650357
4.1557	0.0002758057437815
4.1567	0.0002758085225274
4.1577	0.0002758113012732
4.1587	0.0002758140800190
4.1597	0.0002758168587648
4.1607	0.0002758196375106
4.1617	0.0002758224162564
4.1627	0.0002758251950023
4.1637	0.0002758279737481
4.1647	0.0002758307524939
4.1657	0.0002758335312397
4.1667	0.0002758363099855
4.1677	0.0002758390887314
4.1687	0.0002758418674772
4.1697	0.0002758446462230
4.1707	0.0002758474249688
4.1717	0.0002758502037146
4.1727	0.0002758529824604
4.1737	0.0002758557612063
4.1747	0.0002758585399521
4.1757	0.0002758613186979
4.1767	0.0002758640974437
4.1777	0.0002758668761895
4.1787	0.0002758696549353
4.1797	0.0002758724336812
4.1807	0.0002758752124270
4.1817	0.0002758779911728
4.1827	0.0002758807699186
4.1837	0.0002758835486644
4.1847	0.0002758863274103
4.1857	0.0002758891061561
4.1867	0.0002758918849019
4.1877	0.0002758946636477
4.1887	0.0002758974423935
4.1897	0.0002759002211393
4.1907	0.0002759029998852
4.1917	0.0002759057786310
4.1927	0.0002759085573768
4.1937	0.0002759113361226
4.1947	0.0002759141148684
4.1957	0.0002759168936142
4.1967	0.0002759196723601
4.1977	0.0002759224511059
4.1987	0.0002759252298517
4.1997	0.0002759280085975
4.2007	0.0002759307873433
4.2017	0.0002759335660892
4.2027	0.0002759363448350
4.2037	0.0002759391235808
4.2047	0.0002759419023266
4.2057	0.0002759446810724
4.2067	0.0002759474598182
4.2077	0.0002759502385641
4.2087	0.0002759530173099
4.2097	0.0002759557960557
4.2107	0.0002759585748015
4.2117	0.0002759613535473
4.2127	0.0002759641322931
4.2137	0.0002759669110390
4.2147	0.0002759696897848
4.2157	0.0002759724685306
4.2167	0.0002759752472764
4.2177	0.0002759780260222
4.2187	0.0002759808047680
4.2197	0.0002759835835139
4.2207	0.0002759863622597
4.2217	0.0002759891410055
4.2227	0.0002759919197513
4.2237	0.0002759946984971
4.2247	0.0002759974772430
4.2257	0.0002760002559888
4.2267	0.0002760030347346
4.2277	0.0002760058134804
4.2287	0.0002760085922262
4.2297	0.0002760113709720
4.2307	0.0002760141497179
4.2317	0.0002760169284637
4.2327	0.0002760197072095
4.2337	0.0002760224859553
4.2347	0.0002760252647011
4.2357	0.0002760280434469
4.2367	0.0002760308221928
4.2377	0.0002760336009386
4.2387	0.0002760363796844
4.2397	0.0002760391584302
4.2407	0.0002760419371760
4.2417	0.0002760447159219
4.2427	0.0002760474946677
4.2437	0.0002760502734135
4.2447	0.0002760530521593
4.2457	0.0002760558309051
4.2467	0.0002760586096509
4.2477	0.0002760613883968
4.2487	0.0002760641671426
4.2497	0.0002760669458884
4.2507	0.0002760697246342
4.2517	0.0002760725033800
4.2527	0.0002760752821258
4.2537	0.0002760780608717
4.2547	0.0002760808396175
4.2557	0.0002760836183633
4.2567	0.0002760863971091
4.2577	0.0002760891758549
4.2587	0.0002760919546008
4.2597	0.0002760947333466
4.2607	0.0002760975120924
4.2617	0.0002761002908382
4.2627	0.0002761030695840
4.2637	0.0002761058483298
4.2647	0.0002761086270757
4.2657	0.0002761114058215
4.2667	0.0002761141845673
4.2677	0.0002761169633131
4.2687	0.0002761197420589
4.2697	0.0002761225208047
4.2707	0.0002761252995506
4.2717	0.0002761280782964
4.2727	0.0002761308570422
4.2737	0.0002761336357880
4.2747	0.0002761364145338
4.2757	0.0002761391932797
4.2767	0.0002761419720255
4.2777	0.0002761447507713
4.2787	0.0002761475295171
4.2797	0.0002761503082629
4.2807	0.0002761530870087
4.2817	0.0002761558657546
4.2827	0.0002761586445004
4.2837	0.0002761614232462
4.2847	0.0002761642019920
4.2857	0.0002761669807378
4.2867	0.0002761697594836
4.2877	0.0002761725382295
4.2887	0.0002761753169753
4.2897	0.0002761780957211
4.2907	0.0002761808744669
4.2917	0.0002761836532127
4.2927	0.0002761864319586
4.2937	0.0002761892107044
4.2947	0.0002761919894502
4.2957	0.0002761947681960
4.2967	0.0002761975469418
4.2977	0.0002762003256876
4.2987	0.0002762031044335
4.2997	0.0002762058831793
4.3007	0.0002762086619251
4.3017	0.0002762114406709
4.3027	0.0002762142194167
4.3037	0.0002762169981625
4.3047	0.0002762197769084
4.3057	0.0002762225556542
4.3067	0.0002762253344000
4.3077	0.0002762281131458
4.3087	0.0002762308918916
4.3097	0.0002762336706375
4.3107	0.0002762364493833
4.3117	0.0002762392281291
4.3127	0.0002762420068749
4.3137	0.0002762447856207
4.3147	0.0002762475643665
4.3157	0.0002762503431124
4.3167	0.0002762531218582
4.3177	0.0002762559006040
4.3187	0.0002762586793498
4.3197	0.0002762614580956
4.3207	0.0002762642368414
4.3217	0.0002762670155873
4.3227	0.0002762697943331
4.3237	0.0002762725730789
4.3247	0.0002762753518247
4.3257	0.0002762781305705
4.3267	0.0002762809093164
4.3277	0.0002762836880622
4.3287	0.0002762864668080
4.3297	0.0002762892455538
4.3307	0.0002762920242996
4.3317	0.0002762948030454
4.3327	0.0002762975817913
4.3337	0.0002763003605371
4.3347	0.0002763031392829
4.3357	0.0002763059180287
4.3367	0.0002763086967745
4.3377	0.0002763114755203
4.3387	0.0002763142542662
4.3397	0.0002763170330120
4.3407	0.0002763198117578
4.3417	0.0002763225905036
4.3427	0.0002763253692494
4.3437	0.0002763281479953
4.3447	0.0002763309267411
4.3457	0.0002763337054869
4.3467	0.0002763364842327
4.3477	0.0002763392629785
4.3487	0.0002763420417243
4.3497	0.0002763448204702
4.3507	0.0002763475992160
4.3517	0.0002763503779618
4.3527	0.0002763531567076
4.3537	0.0002763559354534
4.3547	0.0002763587141992
4.3557	0.0002763614929451
4.3567	0.0002763642716909
4.3577	0.0002763670504367
4.3587	0.0002763698291825
4.3597	0.0002763726079283
4.3607	0.0002763753866742
4.3617	0.0002763781654200
4.3627	0.0002763809441658
4.3637	0.0002763837229116
4.3647	0.0002763865016574
4.3657	0.0002763892804032
4.3667	0.0002763920591491
4.3677	0.0002763948378949
4.3687	0.0002763976166407
4.3697	0.0002764003953865
4.3707	0.0002764031741323
4.3717	0.0002764059528781
4.3727	0.0002764087316240
4.3737	0.0002764115103698
4.3747	0.0002764142891156
4.3757	0.0002764170678614
4.3767	0.0002764198466072
4.3777	0.0002764226253531
4.3787	0.0002764254040989
4.3797	0.0002764281828447
4.3807	0.0002764309615905
4.3817	0.0002764337403363
4.3827	0.0002764365190821
4.3837	0.0002764392978280
4.3847	0.0002764420765738
4.3857	0.0002764448553196
4.3867	0.0002764476340654
4.3877	0.0002764504128112
4.3887	0.0002764531915570
4.3897	0.0002764559703029
4.3907	0.0002764587490487
4.3917	0.0002764615277945
4.3927	0.0002764643065403
4.3937	0.0002764670852861
4.3947	0.0002764698640320
4.3957	0.0002764726427778
4.3967	0.0002764754215236
4.3977	0.0002764782002694
4.3987	0.0002764809790152
4.3997	0.0002764837577610
4.4007	0.0002764865365069
4.4017	0.0002764893152527
4.4027	0.0002764920939985
4.4037	0.0002764948727443
4.4047	0.0002764976514901
4.4057	0.0002765004302359
4.4067	0.0002765032089818
4.4077	0.0002765059877276
4.4087	0.0002765087664734
4.4097	0.0002765115452192
4.4107	0.0002765143239650
4.4117	0.0002765171027109
4.4127	0.0002765198814567
4.4137	0.0002765226602025
4.4147	0.0002765254389483
4.4157	0.0002765282176941
4.4167	0.0002765309964399
4.4177	0.0002765337751858
4.4187	0.0002765365539316
4.4197	0.0002765393326774
4.4207	0.0002765421114232
4.4217	0.0002765448901690
4.4227	0.0002765476689148
4.4237	0.0002765504476607
4.4247	0.0002765532264065
4.4257	0.0002765560051523
4.4267	0.0002765587838981
4.4277	0.0002765615626439
4.4287	0.0002765643413898
4.4297	0.0002765671201356
4.4307	0.0002765698988814
4.4317	0.0002765726776272
4.4327	0.0002765754563730
4.4337	0.0002765782351188
4.4347	0.0002765810138647
4.4357	0.0002765837926105
4.4367	0.0002765865713563
4.4377	0.0002765893501021
4.4387	0.0002765921288479
4.4397	0.0002765949075937
4.4407	0.0002765976863396
4.4417	0.0002766004650854
4.4427	0.0002766032438312
4.4437	0.0002766060225770
4.4447	0.0002766088013228
4.4457	0.0002766115800686
4.4467	0.0002766143588145
4.4477	0.0002766171375603
4.4487	0.0002766199163061
4.4497	0.0002766226950519
4.4507	0.0002766254737977
4.4517	0.0002766282525436
4.4527	0.0002766310312894
4.4537	0.0002766338100352
4.4547	0.0002766365887810
4.4557	0.0002766393675268
4.4567	0.0002766421462726
4.4577	0.0002766449250185
4.4587	0.0002766477037643
4.4597	0.0002766504825101
4.4607	0.0002766532612559
4.4617	0.0002766560400017
4.4627	0.0002766588187475
4.4637	0.0002766615974934
4.4647	0.0002766643762392
4.4657	0.0002766671549850
4.4667	0.0002766699337308
4.4677	0.0002766727124766
4.4687	0.0002766754912225
4.4697	0.0002766782699683
4.4707	0.0002766810487141
4.4717	0.0002766838274599
4.4727	0.0002766866062057
4.4737	0.0002766893849515
4.4747	0.0002766921636974
4.4757	0.0002766949424432
4.4767	0.0002766977211890
4.4777	0.0002767004999348
4.4787	0.0002767032786806
4.4797	0.0002767060574264
4.4807	0.0002767088361723
4.4817	0.0002767116149181
4.4827	0.0002767143936639
4.4837	0.0002767171724097
4.4847	0.0002767199511555
4.4857	0.0002767227299014
4.4867	0.0002767255086472
4.4877	0.0002767282873930
4.4887	0.0002767310661388
4.4897	0.0002767338448846
4.4907	0.0002767366236304
4.4917	0.0002767394023763
4.4927	0.0002767421811221
4.4937	0.0002767449598679
4.4947	0.0002767477386137
4.4957	0.0002767505173595
4.4967	0.0002767532961053
4.4977	0.0002767560748512
4.4987	0.0002767588535970
4.4997	0.0002767616323428
4.5007	0.0002767644110886
4.5017	0.0002767671898344
4.5027	0.0002767699685803
4.5037	0.0002767727473261
4.5047	0.0002767755260719
4.5057	0.0002767783048177
4.5067	0.0002767810835635
4.5077	0.0002767838623093
4.5087	0.0002767866410552
4.5097	0.0002767894198010
4.5107	0.0002767921985468
4.5117	0.0002767949772926
4.5127	0.0002767977560384
4.5137	0.0002768005347842
4.5147	0.0002768033135301
4.5157	0.0002768060922759
4.5167	0.0002768088710217
4.5177	0.0002768116497675
4.5187	0.0002768144285133
4.5197	0.0002768172072592
4.5207	0.0002768199860050
4.5217	0.0002768227647508
4.5227	0.0002768255434966
4.5237	0.0002768283222424
4.5247	0.0002768311009882
4.5257	0.0002768338797341
4.5267	0.0002768366584799
4.5277	0.0002768394372257
4.5287	0.0002768422159715
4.5297	0.0002768449947173
4.5307	0.0002768477734631
4.5317	0.0002768505522090
4.5327	0.0002768533309548
4.5337	0.0002768561097006
4.5347	0.0002768588884464
4.5357	0.0002768616671922
4.5367	0.0002768644459381
4.5377	0.0002768672246839
4.5387	0.0002768700034297
4.5397	0.0002768727821755
4.5407	0.0002768755609213
4.5417	0.0002768783396671
4.5427	0.0002768811184130
4.5437	0.0002768838971588
4.5447	0.0002768866759046
4.5457	0.0002768894546504
4.5467	0.0002768922333962
4.5477	0.0002768950121420
4.5487	0.0002768977908879
4.5497	0.0002769005696337
4.5507	0.0002769033483795
4.5517	0.0002769061271253
4.5527	0.0002769089058711
4.5537	0.0002769116846170
4.5547	0.0002769144633628
4.5557	0.0002769172421086
4.5567	0.0002769200208544
4.5577	0.0002769227996002
4.5587	0.0002769255783460
4.5597	0.0002769283570919
4.5607	0.0002769311358377
4.5617	0.0002769339145835
4.5627	0.0002769366933293
4.5637	0.0002769394720751
4.5647	0.0002769422508209
4.5657	0.0002769450295668
4.5667	0.0002769478083126
4.5677	0.0002769505870584
4.5687	0.0002769533658042
4.5697	0.0002769561445500
4.5707	0.0002769589232959
4.5717	0.0002769617020417
4.5727	0.0002769644807875
4.5737	0.0002769672595333
4.5747	0.0002769700382791
4.5757	0.0002769728170249
4.5767	0.0002769755957708
4.5777	0.0002769783745166
4.5787	0.0002769811532624
4.5797	0.0002769839320082
4.5807	0.0002769867107540
4.5817	0.0002769894894998
4.5827	0.0002769922682457
4.5837	0.0002769950469915
4.5847	0.0002769978257373
4.5857	0.0002770006044831
4.5867	0.0002770033832289
4.5877	0.0002770061619748
4.5887	0.0002770089407206
4.5897	0.0002770117194664
4.5907	0.0002770144982122
4.5917	0.0002770172769580
4.5927	0.0002770200557038
4.5937	0.0002770228344497
4.5947	0.0002770256131955
4.5957	0.0002770283919413
4.5967	0.0002770311706871
4.5977	0.0002770339494329
4.5987	0.0002770367281787
4.5997	0.0002770395069246
4.6007	0.0002770422856704
4.6017	0.0002770450644162
4.6027	0.0002770478431620
4.6037	0.0002770506219078
4.6047	0.0002770534006537
4.6057	0.0002770561793995
4.6067	0.0002770589581453
4.6077	0.0002770617368911
4.6087	0.0002770645156369
4.6097	0.0002770672943827
4.6107	0.0002770700731286
4.6117	0.0002770728518744
4.6127	0.0002770756306202
4.6137	0.0002770784093660
4.6147	0.0002770811881118
4.6157	0.0002770839668576
4.6167	0.0002770867456035
4.6177	0.0002770895243493
4.6187	0.0002770923030951
4.6197	0.0002770950818409
4.6207	0.0002770978605867
4.6217	0.0002771006393326
4.6227	0.0002771034180784
4.6237	0.0002771061968242
